Date	Ref No.	Payee	Memo	Payment	Deposit	Reconciliation Status	Balance	Type	Account	Added in Banking
01/04/2024			MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD		2,017.65	Cleared	154,371.77	Deposit	Income:CREDIT CARD	
01/03/2024		MERCHANT BANKCD	MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD	3,077.00		Cleared	152,354.12	Check	7750 Credit Card Processing Fee	
01/03/2024	2143	SEA PRIVATE SEAFOOD		823.10		Cleared	155,431.12	Check	3100 A/P	
01/03/2024			MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD		2,643.69	Cleared	156,254.22	Deposit	Income:CREDIT CARD	
01/02/2024			MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD		7,827.60	Cleared	153,610.53	Deposit	Income:CREDIT CARD	
01/02/2024			MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD		3,772.02	Cleared	145,782.93	Deposit	Income:CREDIT CARD	
12/29/2023		PAYCHEX EIB INVOICE	PAYCHEX EIB DES:INVOICE ID:X05234700008169 INDN:COUR THAI GROUP CORPOR CO ID:1161124166 CCD	145.39		Reconciled	142,010.91	Check	8460 Payroll Processing Fees	
12/29/2023	2147	KAM KEU MARKET		2,625.95		Reconciled	142,156.30	Check	Purchase:KAM KEU ASIAN MARKET	
12/29/2023			MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD		3,557.11	Reconciled	144,782.25	Deposit	Income:CREDIT CARD	
12/29/2023			DoorDash, Inc. DES:Disabled A ID:ST-I9K6A5X0L5U4 INDN:COUR THAI LLC CO ID:4270465600 CCD		2,367.48	Reconciled	141,225.14	Deposit	Income:DoorDash	
12/29/2023			GRUBHUB INC DES:Dec Actvty ID:23122927X8mcd2j INDN:COUR THAI GROUP CORPOR CO ID:1261328194 CCD		544.47	Reconciled	138,857.66	Deposit	Income:GRUBHUB	
12/28/2023		PAYCHEX TPS TAXES	PAYCHEX TPS DES:TAXES ID:05224600023290X INDN:COUR THAI GROUP CORPOR CO ID:1161124166 CCD	1,954.44		Reconciled	138,313.19	Check	3140 Payroll Taxes Liabilities	
12/28/2023	5592	CHECK		1,954.61		Reconciled	140,267.63	Check	8400 Salaries and wages	
12/28/2023	5586	CHECK		720.00		Reconciled	142,222.24	Check	8400 Salaries and wages	
12/28/2023	5579	CHECK		720.01		Reconciled	142,942.24	Check	8400 Salaries and wages	
12/28/2023			MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD		3,323.94	Reconciled	143,662.25	Deposit	Income:CREDIT CARD	
12/27/2023			MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD		2,622.50	Reconciled	140,338.31	Deposit	Income:CREDIT CARD	
12/26/2023		Online Banking payment to CSL 7321	Online Banking payment to CRD 7321 Confirmation# 2759801331	5,386.91		Reconciled	137,715.81	Check	3410 BOA #3563/#7321	
12/26/2023	5600	CHECK		767.71		Reconciled	143,102.72	Check	8400 Salaries and wages	
12/26/2023	5593	CHECK		767.70		Reconciled	143,870.43	Check	8400 Salaries and wages	
12/26/2023			MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD		5,851.14	Reconciled	144,638.13	Deposit	Income:CREDIT CARD	
12/26/2023			MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD		4,624.38	Reconciled	138,786.99	Deposit	Income:CREDIT CARD	
12/22/2023			MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD		3,299.64	Reconciled	134,162.61	Deposit	Income:CREDIT CARD	
12/22/2023			DoorDash, Inc. DES:Disabled A ID:ST-P6F7B4Z0L8S7 INDN:COUR THAI LLC CO ID:4270465600 CCD		2,238.86	Reconciled	130,862.97	Deposit	Income:DoorDash	
12/22/2023			GRUBHUB INC DES:Dec Actvty ID:23122220X8mcd2j INDN:COUR THAI GROUP CORPOR CO ID:1261328194 CCD		813.98	Reconciled	128,624.11	Deposit	Income:GRUBHUB	
12/21/2023	5596	CHECK		557.72		Reconciled	127,810.13	Check	8400 Salaries and wages	
12/21/2023	5589	CHECK		612.75		Reconciled	128,367.85	Check	8400 Salaries and wages	
12/21/2023	5585	CHECK		1,781.01		Reconciled	128,980.60	Check	8400 Salaries and wages	
12/21/2023	5582	CHECK		671.76		Reconciled	130,761.61	Check	8400 Salaries and wages	
12/21/2023	5575	CHECK		676.57		Reconciled	131,433.37	Check	8400 Salaries and wages	
12/21/2023	5568	CHECK		648.25		Reconciled	132,109.94	Check	8400 Salaries and wages	
12/21/2023	2144	KAM KEU MARKET		2,749.60		Reconciled	132,758.19	Check	Purchase:KAM KEU ASIAN MARKET	
12/21/2023			MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD		2,775.32	Reconciled	135,507.79	Deposit	Income:CREDIT CARD	
12/20/2023		NJ S&U WEB PMT	NJ WEB PMT 04110 DES:NJWEB04110 ID:091000016377677 INDN:COUR THAI GROUP CORPOR CO ID:7216000928 CCD PMT INFO:TXP*B843960	5,112.51		Reconciled	132,732.47	Check	6030 Sales Tax  Adjustment	
12/20/2023	5598	CHECK		575.63		Reconciled	137,844.98	Check	8400 Salaries and wages	
12/20/2023	5591	CHECK		575.64		Reconciled	138,420.61	Check	8400 Salaries and wages	
12/20/2023	5584	CHECK		575.63		Reconciled	138,996.25	Check	8400 Salaries and wages	
12/20/2023			MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD		3,068.43	Reconciled	139,571.88	Deposit	Income:CREDIT CARD	
12/19/2023			MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD		2,100.55	Reconciled	136,503.45	Deposit	Income:CREDIT CARD	
12/18/2023		PAYCHEX EIB INVOICE	PAYCHEX EIB DES:INVOICE ID:X05070400007030 INDN:COUR THAI GROUP CORPOR CO ID:1161124166 CCD	145.39		Reconciled	134,402.90	Check	8460 Payroll Processing Fees	
12/18/2023	2142	DA THAISON		2,717.00		Reconciled	134,548.29	Check	Purchase:Da Thaison Inc	
12/18/2023			MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD		8,295.53	Reconciled	137,265.29	Deposit	Income:CREDIT CARD	
12/18/2023			MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD		1,954.93	Reconciled	128,969.76	Deposit	Income:CREDIT CARD	
12/15/2023		PAYCHEX TPS TAXES	PAYCHEX TPS DES:TAXES ID:05058800006355X INDN:COUR THAI GROUP CORPOR CO ID:1161124166 CCD	1,769.77		Reconciled	127,014.83	Check	3140 Payroll Taxes Liabilities	
12/15/2023			MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD		3,208.78	Reconciled	128,784.60	Deposit	Income:CREDIT CARD	
12/15/2023			DoorDash, Inc. DES:Disabled A ID:ST-U4H2V9N9D8D6 INDN:COUR THAI LLC CO ID:4270465600 CCD		1,902.16	Reconciled	125,575.82	Deposit	Income:DoorDash	
12/15/2023			GRUBHUB INC DES:Dec Actvty ID:23121513X8mcd2j INDN:COUR THAI GROUP CORPOR CO ID:1261328194 CCD		417.28	Reconciled	123,673.66	Deposit	Income:GRUBHUB	
12/14/2023			MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD		2,741.59	Reconciled	123,256.38	Deposit	Income:CREDIT CARD	
12/13/2023			MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD		2,965.66	Reconciled	120,514.79	Deposit	Income:CREDIT CARD	
12/12/2023	2141	KAM KEU MARKET		2,198.70		Reconciled	117,549.13	Check	Purchase:KAM KEU ASIAN MARKET	
12/12/2023	2140	C & S ASSOCIATES		1,706.00		Reconciled	119,747.83	Check	Rent:Dormitory	
12/12/2023			MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD		2,231.23	Reconciled	121,453.83	Deposit	Income:CREDIT CARD	
12/11/2023	5594	CHECK		631.90		Reconciled	119,222.60	Check	8400 Salaries and wages	
12/11/2023	5587	CHECK		631.90		Reconciled	119,854.50	Check	8400 Salaries and wages	
12/11/2023	5581	CHECK		487.24		Reconciled	120,486.40	Check	8400 Salaries and wages	
12/11/2023	5580	CHECK		631.90		Reconciled	120,973.64	Check	8400 Salaries and wages	
12/11/2023	5578	CHECK		1,884.31		Reconciled	121,605.54	Check	8400 Salaries and wages	
12/11/2023	5573	CHECK		631.90		Reconciled	123,489.85	Check	8400 Salaries and wages	
12/11/2023	5571	CHECK		1,871.84		Reconciled	124,121.75	Check	8400 Salaries and wages	
12/11/2023	5566	CHECK		631.90		Reconciled	125,993.59	Check	8400 Salaries and wages	
12/11/2023	5553	CHECK		487.24		Reconciled	126,625.49	Check	8400 Salaries and wages	
12/11/2023	5546	CHECK		487.24		Reconciled	127,112.73	Check	8400 Salaries and wages	
12/11/2023	5539	CHECK		487.24		Reconciled	127,599.97	Check	8400 Salaries and wages	
12/11/2023	5506	CHECK		487.24		Reconciled	128,087.21	Check	8400 Salaries and wages	
12/11/2023	2138	Levin Management		13,553.54		Reconciled	128,574.45	Check	Rent:Restaurant	
12/11/2023	2136	REPUBLIC SERVICE		250.47		Reconciled	142,127.99	Check	8880 Waste Management	
12/11/2023			MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD		5,625.34	Reconciled	142,378.46	Deposit	Income:CREDIT CARD	
12/11/2023			MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD		4,277.40	Reconciled	136,753.12	Deposit	Income:CREDIT CARD	
12/08/2023	2137	HORIZON		1,341.27		Reconciled	132,475.72	Check	8150 Health Insurance	
12/08/2023	2135	PSE&G		3,068.43		Reconciled	133,816.99	Check	Utilities:Gas and Electric	
12/08/2023	2132	AUTO CHLOR SYSTEM		467.56		Reconciled	136,885.42	Check	8670 Dishwash expense	
12/08/2023			MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD		3,082.69	Reconciled	137,352.98	Deposit	Income:CREDIT CARD	
12/08/2023			DoorDash, Inc. DES:Disabled A ID:ST-D3C6R5Q5I4X3 INDN:COUR THAI LLC CO ID:4270465600 CCD		2,356.63	Reconciled	134,270.29	Deposit	Income:DoorDash	
12/08/2023			GRUBHUB INC DES:Nov Actvty ID:23120801X8mcd2j INDN:COUR THAI GROUP CORPOR CO ID:1261328194 CCD		694.17	Reconciled	131,913.66	Deposit	Income:GRUBHUB	
12/08/2023			GRUBHUB INC DES:Dec Actvty ID:23120806X8mcd2j INDN:COUR THAI GROUP CORPOR CO ID:1261328194 CCD		152.96	Reconciled	131,219.49	Deposit	Income:GRUBHUB	
12/07/2023			MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD		2,489.36	Reconciled	131,066.53	Deposit	Income:CREDIT CARD	
12/06/2023			IRS DES:USATAXPYMT ID:222374081108270 INDN:LAI F CHONG CO ID:3387702000 WEB	6,045.34		Reconciled	128,577.17	Check	4520 Loan officer	
12/06/2023	5564	CHECK		1,884.84		Reconciled	134,622.51	Check	8400 Salaries and wages	
12/06/2023	5559	CHECK		631.90		Reconciled	136,507.35	Check	8400 Salaries and wages	
12/06/2023	5557	CHECK		1,487.52		Reconciled	137,139.25	Check	8400 Salaries and wages	
12/06/2023	5552	CHECK		631.90		Reconciled	138,626.77	Check	8400 Salaries and wages	
12/06/2023	5545	CHECK		631.90		Reconciled	139,258.67	Check	8400 Salaries and wages	
12/06/2023	5538	CHECK		631.90		Reconciled	139,890.57	Check	8400 Salaries and wages	
12/06/2023	5505	CHECK		631.90		Reconciled	140,522.47	Check	8400 Salaries and wages	
12/06/2023	2139	KAM KEU MARKET		2,287.15		Reconciled	141,154.37	Check	Purchase:KAM KEU ASIAN MARKET	
12/06/2023	2134	DA THAISON		1,846.00		Reconciled	143,441.52	Check	Purchase:Da Thaison Inc	
12/06/2023			MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD		2,852.47	Reconciled	145,287.52	Deposit	Income:CREDIT CARD	
12/05/2023		MERCHANT BANKCD	MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD	15.95		Reconciled	142,435.05	Check	Income:CREDIT CARD	
12/05/2023			MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD		2,203.55	Reconciled	142,451.00	Deposit	Income:CREDIT CARD	
12/04/2023		MERCHANT BANKCD	MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD	2,690.02		Reconciled	140,247.45	Check	7750 Credit Card Processing Fee	
12/04/2023		NJ GOVSERVICE	NJGovServEW DES:NJGovServE ID:609-586-2600 INDN:COUR THAI GROUP CORPOR CO ID:1522077581 CCD	150.50		Reconciled	142,937.47	Check	8220 Licenses and Permits	
12/04/2023	2133	LAI F CHONG		12,000.00		Reconciled	143,087.97	Check	S Corp Distribution:Lai F Chong	
12/04/2023	2129	SEA PRIVATE SEAFOOD		381.50		Reconciled	155,087.97	Check	Purchase:Sea Pirate Seafood	
12/04/2023			MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD		6,092.69	Reconciled	155,469.47	Deposit	Income:CREDIT CARD	
12/04/2023			MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD		2,549.75	Reconciled	149,376.78	Deposit	Income:CREDIT CARD	
12/04/2023			MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD		1,150.52	Reconciled	146,827.03	Deposit	Income:CREDIT CARD	
12/01/2023		PAYCHEX EIB INVOICE	PAYCHEX EIB DES:INVOICE ID:X04871200014134 INDN:COUR THAI GROUP CORPOR CO ID:1161124166 CCD	148.89		Reconciled	145,676.51	Check	8460 Payroll Processing Fees	
12/01/2023	2128	SEA PRIVATE SEAFOOD		400.70		Reconciled	145,825.40	Check	Purchase:Sea Pirate Seafood	
12/01/2023			MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD		3,012.32	Reconciled	146,226.10	Deposit	Income:CREDIT CARD	
12/01/2023			DoorDash, Inc. DES:Disabled A ID:ST-N9X2P7R1L6D4 INDN:COUR THAI LLC CO ID:4270465600 CCD		1,607.32	Reconciled	143,213.78	Deposit	Income:DoorDash	
12/01/2023			GRUBHUB INC DES:Nov Actvty ID:23120129X8mcd2j INDN:COUR THAI GROUP CORPOR CO ID:1261328194 CCD		763.10	Reconciled	141,606.46	Deposit	Income:GRUBHUB	
11/30/2023		PAYCHEX TPS TAXES	PAYCHEX TPS DES:TAXES ID:04865300016892X INDN:COUR THAI GROUP CORPOR CO ID:1161124166 CCD	1,542.68		Reconciled	140,843.36	Check	3140 Payroll Taxes Liabilities	
11/30/2023	2130	KAM KEU MARKET		1,312.35		Reconciled	142,386.04	Check	Purchase:KAM KEU ASIAN MARKET	
11/30/2023	2125	NJ AMERICAN WATER		827.47		Reconciled	143,698.39	Check	Utilities:Water	
11/30/2023			MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD		2,922.19	Reconciled	144,525.86	Deposit	Income:CREDIT CARD	
11/29/2023			MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD		2,139.04	Reconciled	141,603.67	Deposit	Income:CREDIT CARD	
11/28/2023			MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD		2,166.90	Reconciled	139,464.63	Deposit	Income:CREDIT CARD	
11/27/2023		Online Banking payment to CSL 7321	Online Banking payment to CRD 7321 Confirmation# 1609160180	5,119.50		Reconciled	137,297.73	Check	3410 BOA #3563/#7321	
11/27/2023	2126	VERIZON		197.72		Reconciled	142,417.23	Check	8840 Telephone	
11/27/2023			MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD		6,476.06	Reconciled	142,614.95	Deposit	Income:CREDIT CARD	
11/27/2023			MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD		2,756.20	Reconciled	136,138.89	Deposit	Income:CREDIT CARD	
11/24/2023			MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD		3,934.81	Reconciled	133,382.69	Deposit	Income:CREDIT CARD	
11/24/2023			DoorDash, Inc. DES:Disabled A ID:ST-D5D0V2X8H6I7 INDN:COUR THAI LLC CO ID:4270465600 CCD		1,821.14	Reconciled	129,447.88	Deposit	Income:DoorDash	
11/24/2023			GRUBHUB INC DES:Nov Actvty ID:23112422X8mcd2j INDN:COUR THAI GROUP CORPOR CO ID:1261328194 CCD		1,362.84	Reconciled	127,626.74	Deposit	Income:GRUBHUB	
11/22/2023	2127	KAM KEU MARKET		1,897.65		Reconciled	126,263.90	Check	Purchase:KAM KEU ASIAN MARKET	
11/22/2023	2119	OCEAN PLASTIC PACKAGING TRADING INC		620.00		Reconciled	128,161.55	Check	Purchase:OCEAN PLASTIC PACKAGING TRADING	
11/22/2023			MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD		2,454.76	Reconciled	128,781.55	Deposit	Income:CREDIT CARD	
11/21/2023			LIBERTY MUTUAL I DES:BILL PAY ID:17984486081 INDN: LIBERTY MUTUAL INSURA CO ID:7529036411 CCD	2,100.00		Reconciled	126,326.79	Check	Insurance:AUTO INSURANCE	
11/21/2023			MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD		1,677.31	Reconciled	128,426.79	Deposit	Income:CREDIT CARD	
11/20/2023		NJ S&U WEB PMT	NJ WEB PMT 04110 DES:NJWEB04110 ID:091000016131221 INDN:COUR THAI GROUP CORPOR CO ID:7216000928 CCD PMT INFO:TXP*B843960	5,401.11		Reconciled	126,749.48	Check	6030 Sales Tax  Adjustment	
11/20/2023		PAYCHEX EIB INVOICE	PAYCHEX EIB DES:INVOICE ID:X04725100004944 INDN:COUR THAI GROUP CORPOR CO ID:1161124166 CCD	145.39		Reconciled	132,150.59	Check	8460 Payroll Processing Fees	
11/20/2023	2124	DA THAISON		2,410.50		Reconciled	132,295.98	Check	Purchase:Da Thaison Inc	
11/20/2023			MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD		5,402.47	Reconciled	134,706.48	Deposit	Income:CREDIT CARD	
11/20/2023			MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD		3,271.22	Reconciled	129,304.01	Deposit	Income:CREDIT CARD	
11/17/2023		PAYCHEX TPS TAXES	PAYCHEX TPS DES:TAXES ID:04714400006490X INDN:COUR THAI GROUP CORPOR CO ID:1161124166 CCD	1,555.10		Reconciled	126,032.79	Check	3140 Payroll Taxes Liabilities	
11/17/2023	2116	SEA PRIVATE SEAFOOD		766.60		Reconciled	127,587.89	Check	Purchase:Sea Pirate Seafood	
11/17/2023			MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD		3,070.04	Reconciled	128,354.49	Deposit	Income:CREDIT CARD	
11/17/2023			DoorDash, Inc. DES:Disabled A ID:ST-L5S9J1X0P2R0 INDN:COUR THAI LLC CO ID:4270465600 CCD		1,340.58	Reconciled	125,284.45	Deposit	Income:DoorDash	
