Date	DESCRIPTION	Payee	Categorize or match	SPENT	RECEIVED
01/22/2024	MERCHANT BNKCD DES:DEPOSIT ID:26 MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD	206 Farmers Market	8310 Moving Expense		$2,658.67
01/22/2024	MERCHANT BNKCD DES:DEPOSIT ID:26 MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD	206 Farmers Market	8310 Moving Expense		$2,686.32
01/22/2024	MERCHANT BNKCD DES:DEPOSIT ID:26 MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD	206 Farmers Market	8310 Moving Expense		$3,047.03
01/23/2024	Check 2168		Uncategorized Expense	$12,000.00	
01/23/2024	Check 2161		Uncategorized Expense	$594.10	
01/24/2024	MERCHANT BNKCD DES:DEPOSIT ID:26 MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD	206 Farmers Market	8310 Moving Expense		$4,234.26
01/25/2024	PAYCHEX TPS DES:TAXES ID:0592400 PAYCHEX TPS DES:TAXES ID:05924000012469X INDN:COUR THAI GROUP CORPOR CO ID:1161124166 CCD		9000 Other Income	$1,781.66	
01/25/2024	Check 2167		Uncategorized Expense	$2,211.20	
01/25/2024	Check 2164		Uncategorized Expense	$2,046.74	
01/25/2024	MERCHANT BNKCD DES:DEPOSIT ID:26 MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD	206 Farmers Market	8310 Moving Expense		$2,010.41
01/26/2024	PAYCHEX EIB DES:INVOICE ID:X0593 PAYCHEX EIB DES:INVOICE ID:X05935800012431 INDN:COUR THAI GROUP CORPOR CO ID:1161124166 CCD		9000 Other Income	$139.69	
01/26/2024	Check 2165		Uncategorized Expense	$197.62	
01/26/2024	GRUBHUB INC DES:Jan Actvty ID:24 GRUBHUB INC DES:Jan Actvty ID:24012624X8mcd2j INDN:COUR THAI GROUP CORPOR CO ID:1261328194 CCD		49900 Uncategorized Income		$326.16
01/26/2024	DoorDash, Inc. DES:Disabled A ID DoorDash, Inc. DES:Disabled A ID:ST-M3S2Y6S5Z2I0 INDN:COUR THAI LLC CO ID:4270465600 CCD		49900 Uncategorized Income		$1,889.70
01/26/2024	MERCHANT BNKCD DES:DEPOSIT ID:26 MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD	206 Farmers Market	8310 Moving Expense		$2,885.78
01/29/2024	Check 5618		Uncategorized Expense	$602.43	
01/29/2024	Check 5612		Uncategorized Expense	$602.43	
01/29/2024	Check 5605		Uncategorized Expense	$575.64	
01/29/2024	Check 2166		Uncategorized Expense	$563.96	
01/29/2024	MERCHANT BNKCD DES:DEPOSIT ID:26 MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD	206 Farmers Market	8310 Moving Expense		$4,423.21
01/29/2024	MERCHANT BNKCD DES:DEPOSIT ID:26 MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD	206 Farmers Market	8310 Moving Expense		$5,696.54
01/30/2024	Check 2172		Uncategorized Expense	$2,389.60	
01/30/2024	Check 2169		Uncategorized Expense	$778.29	
01/30/2024	Check 2162		Uncategorized Expense	$1,701.00	
01/30/2024	MERCHANT BNKCD DES:DEPOSIT ID:26 MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD	206 Farmers Market	8310 Moving Expense		$1,629.38
01/31/2024	Check 2170		Uncategorized Expense	$472.04	
01/31/2024	MERCHANT BNKCD DES:DEPOSIT ID:26 MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD	206 Farmers Market	8310 Moving Expense		$2,801.40
02/01/2024	Check 5620		Uncategorized Expense	$807.87	
02/01/2024	Check 5614		Uncategorized Expense	$807.87	
02/01/2024	Check 5607		Uncategorized Expense	$767.70	
02/01/2024	MERCHANT BNKCD DES:DEPOSIT ID:26 MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD	206 Farmers Market	8310 Moving Expense		$2,404.41
